# Spezifikationen, Quelle geprueft. Format:
# MARKE | Modell | Groesse | span_cm | area_cm2 | thickness_mm | Notiz | Quelle
AlpineFoil | RSX | 570 | 86.0 | 570 | - | AR ~13,1; NICHT dasselbe wie RSX ULTRA AR17 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-570.html
RRD | BLAZE CARBON FRONT WING Y27 | 1100 | 83.5 | 1100 | 18 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 1250 | 86.5 | 1250 | 19 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 1550 | 97.5 | 1550 | 19.2 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 1850 | 103.5 | 1850 | 19.3 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE LTE FRONT WING Y30 | 850 | 72.5 | 850 | 17 | - | https://watersports.robertoriccidesigns.com/products/blaze_lte_front_wing_y30
RRD | BLAZE LTE FRONT WING Y30 | 950 | 79 | 950 | 18 | - | https://watersports.robertoriccidesigns.com/products/blaze_lte_front_wing_y30
RRD | BLAZE LTE FRONT WING Y30 | 1100 | 83.5 | 1100 | 18 | - | https://watersports.robertoriccidesigns.com/products/blaze_lte_front_wing_y30
RRD | BLAZE LTE FRONT WING Y30 | 1250 | 86.5 | 1250 | 19 | - | https://watersports.robertoriccidesigns.com/products/blaze_lte_front_wing_y30
RRD | BLAZE LTE FRONT WING Y30 | 1550 | 97.5 | 1550 | 19.2 | - | https://watersports.robertoriccidesigns.com/products/blaze_lte_front_wing_y30
RRD | BLAZE LTE FRONT WING Y30 | 1850 | 103.5 | 1850 | 19.3 | - | https://watersports.robertoriccidesigns.com/products/blaze_lte_front_wing_y30
RRD | UNIVERSAL MANTARAY FRONT WING Y30 | 650 | 67 | 650 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/universal_mantaray_front_wing_y30
RRD | UNIVERSAL MANTARAY FRONT WING Y30 | 850 | 76 | 850 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/universal_mantaray_front_wing_y30
RRD | UNIVERSAL MANTARAY FRONT WING Y30 | 1050 | 84 | 1050 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/universal_mantaray_front_wing_y30
RRD | UNIVERSAL MANTARAY FRONT WING Y30 | 1350 | 93 | 1350 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/universal_mantaray_front_wing_y30
RRD | THUNDER FRONT WING Y30 | 550 | 66 | 550 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/thunder_front_wing_y30
RRD | THUNDER FRONT WING Y30 | 750 | 75 | 750 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/thunder_front_wing_y30
RRD | THUNDER FRONT WING Y30 | 950 | 85 | 950 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/thunder_front_wing_y30
RRD | FLYING FISH FRONT WING Y30 | 750 | 84 | 750 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/flying_fish_front_wing_y30
RRD | FLYING FISH FRONT WING Y30 | 900 | 91 | 900 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/flying_fish_front_wing_y30
RRD | FLYING FISH FRONT WING Y30 | 1050 | 99 | 1050 | - | Dicke nicht veroeffentlicht | https://watersports.robertoriccidesigns.com/products/flying_fish_front_wing_y30
RRD | UNIVERSAL MOONFISH FRONT WING Y30 | 1350 | 120 | 1350 | 19.7 | - | https://watersports.robertoriccidesigns.com/products/universal_moonfish_front_wing_y30
RRD | UNIVERSAL MOONFISH FRONT WING Y30 | 1900 | 135 | 1900 | 21 | - | https://watersports.robertoriccidesigns.com/products/universal_moonfish_front_wing_y30
Roam Foils | 1700 | 1700 | 170.0 | 2800 | - | Flaeche als "Surface Area" ausgewiesen; AR 10,5 | https://www.roamfoils.com/product/roam-1700-front-foil/22
Roam Foils | 1414 | 1414 | 141.4 | 2080 | - | Flaeche als "Surface Area" | https://www.roamfoils.com/product/roam-1414-front-foil/TTAW5CSRNVMUDBS6W5VC5N3Y
Slingshot | One-Lock Ease | 1250 | 81.7 | 1250 | - | Slingshots eigene Tabelle laedt per JS; Zahlen aus dem woertlichen Haendler-Abdruck | https://www.realwatersports.com/products/slingshot-one-lock-ease-front-wing
Slingshot | One-Lock Ease | 1550 | 86.6 | 1550 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-ease-front-wing
Slingshot | One-Lock Ease | 1850 | 99.0 | 1850 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-ease-front-wing
Slingshot | One-Lock Ease | 2250 | 109.0 | 2250 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-ease-front-wing
Slingshot | One-Lock Glide | 625 | 72.4 | 625 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-glide-front-wing
Slingshot | One-Lock Glide | 725 | 79.9 | 725 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-glide-front-wing
Slingshot | One-Lock Glide | 825 | 84.9 | 825 | - | neueste Groesse | https://s2as.com/products/one-lock-glide-front-wing
Slingshot | One-Lock Glide | 925 | 89.9 | 925 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-glide-front-wing
Slingshot | One-Lock Glide | 1125 | 99.9 | 1125 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-glide-front-wing
Slingshot | One-Lock Glide | 1325 | 109.9 | 1325 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-glide-front-wing
Slingshot | One-Lock Glide | 1525 | 116.9 | 1525 | - | wie oben | https://www.realwatersports.com/products/slingshot-one-lock-glide-front-wing
Slingshot | One-Lock Flow | 600 | 81.2 | 600 | - | wie oben | https://houstonkiteboarding.com/products/2025-slingshot-one-lock-foil-builder-tool-front-wing
Slingshot | One-Lock Flow | 800 | 93.8 | 800 | - | wie oben | https://houstonkiteboarding.com/products/2025-slingshot-one-lock-foil-builder-tool-front-wing
Slingshot | One-Lock Flow | 1000 | 104.9 | 1000 | - | ein Haendler fuehrt hier faelschlich 1125 (Kopie aus der Glide-Zeile); 1000 gegen zwei unabhaengige Quellen bestaetigt | https://houstonkiteboarding.com/products/2025-slingshot-one-lock-foil-builder-tool-front-wing
Slingshot | One-Lock Flow | 1200 | 114.9 | 1200 | - | wie oben | https://houstonkiteboarding.com/products/2025-slingshot-one-lock-foil-builder-tool-front-wing
Moses | 550 | 550 | 55.0 | 600 | - | Archivstand 2020, aktueller Seitentitel stimmt ueberein; eine "Surface"-Zahl, nicht als projiziert ausgewiesen | http://web.archive.org/web/20200921185357/https://moseshydrofoil.com/products/kite-front-wing-550mm
Moses | 633 | 633 | 63.3 | 1250 | - | wie oben | http://web.archive.org/web/20201030041357/https://moseshydrofoil.com/products/surf-front-wing-633mm
Moses | 679 | 679 | 67.9 | 990 | - | Angaben von der Kombi-Seite "Kit 72", Felder ausdruecklich "Front Wing Span"/"Front Wing Surface" | http://web.archive.org/web/20200925104936/https://moseshydrofoil.com/products/kit-72-679-onda
Moses | 695 | 695 | 69.5 | 770 | - | wie oben | http://web.archive.org/web/20200921190543/https://moseshydrofoil.com/products/wing-695-kite
Moses | 720 Balz Pro | 720 | 72.0 | 750 | - | wie oben | http://web.archive.org/web/20201025161956/https://moseshydrofoil.com/products/front-wing-720-balz-pro
Moses | 790 | 790 | 79.0 | 1550 | - | wie oben | http://web.archive.org/web/20201025161135/https://moseshydrofoil.com/products/front-wing-790
Moses | 800 Slalom Race | 800 | 80.0 | 840 | - | wie oben | http://web.archive.org/web/20200925042206/https://moseshydrofoil.com/products/wing-800-950-cm2-race-wind
Moses | 873 | 873 | 87.3 | 2100 | - | wie oben | http://web.archive.org/web/20201025170858/https://moseshydrofoil.com/products/surf-front-wing-873
Moses | 1100 | 1100 | 110.0 | 2100 | - | Modell heisst 1100; "1020" ist nur ein alter URL-Rest auf denselben Fluegel, KEIN eigenes Modell | http://web.archive.org/web/20200925022703/https://moseshydrofoil.com/products/kit-82-1020-onda
Naish | Excalibur | 544 | 74.5 | 544 | - | Herstellerfeld "Projected surface area"; Seite nennt es "Excalibur HA" | https://www.naish.com/products/excalibur-ha-frontwing
Naish | Excalibur | 744 | 87.0 | 744 | - | projizierte Flaeche | https://www.naish.com/products/excalibur-ha-frontwing
Naish | Excalibur | 944 | 98.2 | 944 | - | projizierte Flaeche | https://www.naish.com/products/excalibur-ha-frontwing
Naish | Excalibur | 1144 | 108.0 | 1144 | - | projizierte Flaeche | https://www.naish.com/products/excalibur-ha-frontwing
Naish | Excalibur | 1344 | 117.0 | 1344 | - | projizierte Flaeche | https://www.naish.com/products/excalibur-ha-frontwing
Naish | Siren | 600 | 71.4 | 600 | - | Seite nennt es "Siren MA"; projizierte Flaeche | https://www.naish.com/products/siren-ma-frontwing
Naish | Siren | 800 | 82.0 | 800 | - | projizierte Flaeche | https://www.naish.com/products/siren-ma-frontwing
Naish | Siren | 1000 | 92.2 | 1000 | - | projizierte Flaeche | https://www.naish.com/products/siren-ma-frontwing
Naish | Siren | 1200 | 100.0 | 1200 | - | projizierte Flaeche | https://www.naish.com/products/siren-ma-frontwing
Naish | Ultra Jet | 1450 | 88.9 | 1450 | - | Spannweite nur in Zoll (35") veroeffentlicht, umgerechnet; das Seitenfeld "front-wing-stab" ist die STAB-Angabe, nicht die Spannweite | https://www.naish.com/products/ultrajet-frontwing-2026
Naish | Ultra Jet | 1650 | 91.9 | 1650 | - | aus 36,2" umgerechnet | https://www.naish.com/products/ultrajet-frontwing-2026
Naish | Ultra Jet | 2000 | 100.1 | 2000 | - | aus 39,4" umgerechnet | https://www.naish.com/products/ultrajet-frontwing-2026
Naish | SHA | 733 | 98.0 | 733 | - | projizierte Flaeche | https://www.naish.com/products/sha-foil-front-wing
Naish | SHA | 933 | 110.0 | 933 | - | projizierte Flaeche | https://www.naish.com/products/sha-foil-front-wing
Naish | SHA | 1133 | 120.0 | 1133 | - | projizierte Flaeche | https://www.naish.com/products/sha-foil-front-wing
Naish | Mach-2 | 560 | 75.0 | 560 | - | projizierte Flaeche | https://www.naish.com/products/mach-2-frontwing
Naish | Mach-2 | 711 | 85.0 | 711 | - | projizierte Flaeche | https://www.naish.com/products/mach-2-frontwing
Levitaz | HA1100 | HA1100 | 85 | 1100 | - | einzige Groesse, Name = Flaeche; AR 6,6; levitaz.com selbst nicht abrufbar (reine JS-Seite), Zahlen aus Haendler-Abdruck | https://www.kite-elements.de/produkt/levitaz-ha1100/
Liquid Force | Horizon | 1050 | 74 | 1050 | - | aktuelle FuseLock-Generation | https://www.liquidforce.com/products/2026-carbon-horizon-1050-fuselock-front-wing
Liquid Force | Horizon | 1200 | 80 | 1200 | - | aktuelle FuseLock-Generation | https://www.liquidforce.com/products/2026-carbon-horizon-1200-fuselock-front-wing
Liquid Force | Launch | 1200 | 65 | 1200 | - | einziger Fluegel, der wirklich "Launch" heisst; das aeltere Launch-Paket enthielt einen Fluegel namens "Flite 120" | https://www.liquidforce.com/products/2026-alloy-launch-1200-fuselock-foil-set-system
MFC | HYDROS II | FW1000 | 61.7 | 1000 | - | Flaeche als "sq. cm.", nicht als projiziert ausgewiesen; Profiltiefe 21,1 cm, AR 2,92 | https://mfchawaii.com/shop/hydrofoil/hydros-ii-fw1000/
MFC | HYDROS II | FW1075 | 66 | 1075 | - | Profiltiefe 21,8 cm, AR 3,03 | https://mfchawaii.com/shop/hydrofoil/parts/front-wings/hydros-ii-fw1075/
